date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:14	749291/749291	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226319cedd-b6eeb%22	https://htmldemo.net/hiraola/hiraola/assets/fonts/fa-solid-900.svg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/fonts/fa-solid-900.svg	(from https://htmldemo.net/hiraola/hiraola/assets/css/font-awesome.min.css)
14:15:14	108780/108780	---M--	200	added ('OK')	font/woff	etag:%226319cedd-1a8ec%22	https://htmldemo.net/hiraola/hiraola/assets/fonts/ionicons.woff?v=2.0.0	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/fonts/ionicons28b5.woff	(from https://htmldemo.net/hiraola/hiraola/assets/css/ionicons.min.css)
14:15:14	300777/300777	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226319cedd-496e9%22	https://htmldemo.net/hiraola/hiraola/assets/fonts/ionicons.svg?v=2.0.0	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/fonts/ionicons28b5.svg	(from https://htmldemo.net/hiraola/hiraola/assets/css/ionicons.min.css)
14:15:14	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:13%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_444444_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_444444_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:14	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:14%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_555555_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_555555_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:15	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:14%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_ffffff_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_ffffff_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:15	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:14%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_777620_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_777620_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:15	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:14%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_cc0000_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_cc0000_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:15	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:15:15%20GMT	https://htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_777777_256x240.png	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/images/ui-icons_777777_256x240.png	(from https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css)
14:15:16	38236/38236	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Feb%202024%2007:15:15%20GMT	https://htmldemo.net/hiraola/hiraola/assets/images/slider/1.jpg	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/slider/1.jpg	(from https://htmldemo.net/hiraola/hiraola/assets/css/style.css)
